,DrugBank ID,Drug Name,Drug Type,UniProt ID,Protein Names,Gene Symbol,Length
12325,DB05219,Crisaborole,SmallMoleculeDrug,P27815,"cAMP-specific 3',5'-cyclic phosphodiesterase 4A",PDE4A,886.0
12326,DB05219,Crisaborole,SmallMoleculeDrug,Q07343,"cAMP-specific 3',5'-cyclic phosphodiesterase 4B",PDE4B,736.0
12327,DB05219,Crisaborole,SmallMoleculeDrug,Q08493,"cAMP-specific 3',5'-cyclic phosphodiesterase 4C",PDE4C,712.0
12328,DB05219,Crisaborole,SmallMoleculeDrug,Q08499,"cAMP-specific 3',5'-cyclic phosphodiesterase 4D",PDE4D,809.0
12329,DB05220,MLN8237,SmallMoleculeDrug,O14965,Aurora kinase A,AURKA,403.0
12331,DB05223,SB939,SmallMoleculeDrug,Q13547,Histone deacetylase 1,HDAC1,482.0
12332,DB05223,SB939,SmallMoleculeDrug,Q92769,Histone deacetylase 2,HDAC2,488.0
12333,DB05223,SB939,SmallMoleculeDrug,O15379,Histone deacetylase 3,HDAC3,428.0
12334,DB05223,SB939,SmallMoleculeDrug,Q9UBN7,Histone deacetylase 6,HDAC6,1215.0
12336,DB05225,AM103,SmallMoleculeDrug,P20292,Arachidonate 5-lipoxygenase-activating protein,ALOX5AP,161.0
12338,DB05227,APD791,SmallMoleculeDrug,P28223,5-hydroxytryptamine receptor 2A,HTR2A,471.0
12340,DB05229,Beraprost,SmallMoleculeDrug,P43119,Prostacyclin receptor,PTGIR,386.0
12341,DB05232,Tetrodotoxin,SmallMoleculeDrug,P35498,Sodium channel protein type 1 subunit alpha,SCN1A,2009.0
12342,DB05232,Tetrodotoxin,SmallMoleculeDrug,Q99250,Sodium channel protein type 2 subunit alpha,SCN2A,2005.0
12343,DB05232,Tetrodotoxin,SmallMoleculeDrug,Q9NY46,Sodium channel protein type 3 subunit alpha,SCN3A,2000.0
12344,DB05232,Tetrodotoxin,SmallMoleculeDrug,Q9UQD0,Sodium channel protein type 8 subunit alpha,SCN8A,1980.0
12345,DB05233,AP1081,SmallMoleculeDrug,P03372,Estrogen receptor,ESR1,595.0
12346,DB05234,LGD2941,SmallMoleculeDrug,P10275,Androgen receptor,AR,920.0
12347,DB05235,NRP409,SmallMoleculeDrug,Q14894,Ketimine reductase mu-crystallin,CRYM,314.0
12348,DB05235,NRP409,SmallMoleculeDrug,P10827,Thyroid hormone receptor alpha,THRA,490.0
12349,DB05238,PLX4032,SmallMoleculeDrug,P15056,Serine/threonine-protein kinase B-raf,BRAF,766.0
12350,DB05239,Cobimetinib,SmallMoleculeDrug,Q02750,Dual specificity mitogen-activated protein kinase kinase 1,MAP2K1,393.0
12351,DB05240,XL147,SmallMoleculeDrug,P42336,"Phosphatidylinositol 4,5-bisphosphate 3-kinase catalytic subunit alpha isoform",PIK3CA,1068.0
12352,DB05241,XL765,SmallMoleculeDrug,P42336,"Phosphatidylinositol 4,5-bisphosphate 3-kinase catalytic subunit alpha isoform",PIK3CA,1068.0
12353,DB05241,XL765,SmallMoleculeDrug,P48736,"Phosphatidylinositol 4,5-bisphosphate 3-kinase catalytic subunit gamma isoform",PIK3CG,1102.0
12354,DB05241,XL765,SmallMoleculeDrug,O00329,"Phosphatidylinositol 4,5-bisphosphate 3-kinase catalytic subunit delta isoform",PIK3CD,1044.0
12355,DB05241,XL765,SmallMoleculeDrug,P42338,"Phosphatidylinositol 4,5-bisphosphate 3-kinase catalytic subunit beta isoform",PIK3CB,1070.0
12356,DB05241,XL765,SmallMoleculeDrug,P42345,Serine/threonine-protein kinase mTOR,MTOR,2549.0
12357,DB05243,XL019,SmallMoleculeDrug,O60674,Tyrosine-protein kinase JAK2,JAK2,1132.0
12358,DB05246,Methsuximide,SmallMoleculeDrug,O43497,Voltage-dependent T-type calcium channel subunit alpha-1G,CACNA1G,2377.0
12359,DB05249,FavId,SmallMoleculeDrug,Q99062,Granulocyte colony-stimulating factor receptor,CSF3R,836.0
12360,DB05250,681323,SmallMoleculeDrug,P01375,Tumor necrosis factor,TNF,233.0
12361,DB05250,681323,SmallMoleculeDrug,P01584,Interleukin-1 beta,IL1B,269.0
12362,DB05250,681323,SmallMoleculeDrug,P05231,Interleukin-6,IL6,212.0
12363,DB05252,ACCLAIM,SmallMoleculeDrug,P35228,"Nitric oxide synthase, inducible",NOS2,1153.0
12364,DB05253,Proellex,SmallMoleculeDrug,P06401,Progesterone receptor,PGR,933.0
12365,DB05254,Plasmin,SmallMoleculeDrug,P05121,Plasminogen activator inhibitor 1,SERPINE1,402.0
12366,DB05254,Plasmin,SmallMoleculeDrug,P00749,Urokinase-type plasminogen activator,PLAU,431.0
12367,DB05255,751689,SmallMoleculeDrug,P41180,Extracellular calcium-sensing receptor,CASR,1078.0
12368,DB05255,751689,SmallMoleculeDrug,Q5T601,Adhesion G-protein coupled receptor F1,ADGRF1,910.0
12369,DB05256,659032,SmallMoleculeDrug,Q13093,Platelet-activating factor acetylhydrolase,PLA2G7,441.0
12370,DB05258,Natural alpha interferon,BiotechDrug,P17181,Interferon alpha/beta receptor 1,IFNAR1,557.0
12371,DB05259,Glatiramer Acetate,BiotechDrug,P04229,"HLA class II histocompatibility antigen, DRB1-1 beta chain",HLA-DRB1,266.0
12372,DB05260,Gallium nitrate,SmallMoleculeDrug,P31350,Ribonucleoside-diphosphate reductase subunit M2,RRM2,389.0
12373,DB05260,Gallium nitrate,SmallMoleculeDrug,P21281,"V-type proton ATPase subunit B, brain isoform",ATP6V1B2,511.0
12374,DB05260,Gallium nitrate,SmallMoleculeDrug,P02818,Osteocalcin,BGLAP,100.0
12376,DB05260,Gallium nitrate,SmallMoleculeDrug,P01584,Interleukin-1 beta,IL1B,269.0
12377,DB05262,Oxypurinol,SmallMoleculeDrug,P47989,Xanthine dehydrogenase/oxidase,XDH,1333.0
12378,DB05264,NPI 32101,SmallMoleculeDrug,P32927,Cytokine receptor common subunit beta,CSF2RB,897.0
12379,DB05265,Ecabet,SmallMoleculeDrug,Q8NFA2,NADPH oxidase organizer 1,NOXO1,376.0
12381,DB05266,Ibudilast,SmallMoleculeDrug,P27815,"cAMP-specific 3',5'-cyclic phosphodiesterase 4A",PDE4A,886.0
12382,DB05266,Ibudilast,SmallMoleculeDrug,Q07343,"cAMP-specific 3',5'-cyclic phosphodiesterase 4B",PDE4B,736.0
12383,DB05266,Ibudilast,SmallMoleculeDrug,Q08493,"cAMP-specific 3',5'-cyclic phosphodiesterase 4C",PDE4C,712.0
12384,DB05266,Ibudilast,SmallMoleculeDrug,Q08499,"cAMP-specific 3',5'-cyclic phosphodiesterase 4D",PDE4D,809.0
12385,DB05266,Ibudilast,SmallMoleculeDrug,Q14432,"cGMP-inhibited 3',5'-cyclic phosphodiesterase A",PDE3A,1141.0
12386,DB05268,iCo-007,SmallMoleculeDrug,P04049,RAF proto-oncogene serine/threonine-protein kinase,RAF1,648.0
12387,DB05271,Rotigotine,SmallMoleculeDrug,P35462,D(3) dopamine receptor,DRD3,400.0
12388,DB05271,Rotigotine,SmallMoleculeDrug,P21917,D(4) dopamine receptor,DRD4,467.0
12389,DB05271,Rotigotine,SmallMoleculeDrug,P14416,D(2) dopamine receptor,DRD2,443.0
12390,DB05271,Rotigotine,SmallMoleculeDrug,P21918,D(1B) dopamine receptor,DRD5,477.0
12391,DB05271,Rotigotine,SmallMoleculeDrug,P21728,D(1A) dopamine receptor,DRD1,446.0
12392,DB05271,Rotigotine,SmallMoleculeDrug,P08908,5-hydroxytryptamine receptor 1A,HTR1A,422.0
12393,DB05271,Rotigotine,SmallMoleculeDrug,P18089,Alpha-2B adrenergic receptor,ADRA2B,450.0
12395,DB05280,SLV 308,SmallMoleculeDrug,P14416,D(2) dopamine receptor,DRD2,443.0
12396,DB05280,SLV 308,SmallMoleculeDrug,P35462,D(3) dopamine receptor,DRD3,400.0
12397,DB05280,SLV 308,SmallMoleculeDrug,P21917,D(4) dopamine receptor,DRD4,467.0
12398,DB05280,SLV 308,SmallMoleculeDrug,P08908,5-hydroxytryptamine receptor 1A,HTR1A,422.0
12399,DB05281,S-8184,SmallMoleculeDrug,P68366,Tubulin alpha-4A chain,TUBA4A,448.0
12400,DB05281,S-8184,SmallMoleculeDrug,P10415,Apoptosis regulator Bcl-2,BCL2,239.0
12401,DB05282,MCC,SmallMoleculeDrug,O95831,"Apoptosis-inducing factor 1, mitochondrial",AIFM1,613.0
12402,DB05284,CA4P,SmallMoleculeDrug,P07437,Tubulin beta chain,TUBB,444.0
12403,DB05289,MPC-7869,SmallMoleculeDrug,Q9Y6K9,NF-kappa-B essential modulator,IKBKG,419.0
12404,DB05290,SPP 301,SmallMoleculeDrug,P25101,Endothelin-1 receptor,EDNRA,427.0
12405,DB05294,Vandetanib,SmallMoleculeDrug,P15692,Vascular endothelial growth factor A,VEGFA,232.0
12406,DB05294,Vandetanib,SmallMoleculeDrug,P00533,Epidermal growth factor receptor,EGFR,1210.0
12407,DB05294,Vandetanib,SmallMoleculeDrug,Q13882,Protein-tyrosine kinase 6,PTK6,451.0
12408,DB05294,Vandetanib,SmallMoleculeDrug,Q02763,Angiopoietin-1 receptor,TEK,1124.0
12409,DB05295,Eldecalcitol,SmallMoleculeDrug,P11473,Vitamin D3 receptor,VDR,427.0
12410,DB05297,DHA-paclitaxel,SmallMoleculeDrug,P10415,Apoptosis regulator Bcl-2,BCL2,239.0
12411,DB05298,OPC-6535,SmallMoleculeDrug,Q08499,"cAMP-specific 3',5'-cyclic phosphodiesterase 4D",PDE4D,809.0
12412,DB05299,keyhole limpet hemocyanin,BiotechDrug,P60568,Interleukin-2,IL2,153.0
12413,DB05301,LAX-101,SmallMoleculeDrug,Q13393,Phospholipase D1,PLD1,1074.0
12414,DB05301,LAX-101,SmallMoleculeDrug,P29466,Caspase-1,CASP1,404.0
12415,DB05303,OMS-103HP,SmallMoleculeDrug,P01375,Tumor necrosis factor,TNF,233.0
12416,DB05303,OMS-103HP,SmallMoleculeDrug,P14778,Interleukin-1 receptor type 1,IL1R1,569.0
12417,DB05304,WX-G250,SmallMoleculeDrug,Q16790,Carbonic anhydrase 9,CA9,459.0
12418,DB05304,WX-G250,SmallMoleculeDrug,P60568,Interleukin-2,IL2,153.0
12419,DB05305,Cintredekin Besudotox,BiotechDrug,P35225,Interleukin-13,IL13,146.0
12420,DB05307,CHF-1512,SmallMoleculeDrug,P20711,Aromatic-L-amino-acid decarboxylase,DDC,480.0
12421,DB05308,ANX-510,SmallMoleculeDrug,P04818,Thymidylate synthase,TYMS,313.0
12422,DB05309,TP-508,SmallMoleculeDrug,P08620,Fibroblast growth factor 4,FGF4,206.0
12423,DB05311,Ecallantide,SmallMoleculeDrug,P03952,Plasma kallikrein,KLKB1,638.0
12424,DB05314,DN-101,SmallMoleculeDrug,P32320,Cytidine deaminase,CDA,146.0
12425,DB05316,Pimavanserin,SmallMoleculeDrug,P28223,5-hydroxytryptamine receptor 2A,HTR2A,471.0
12426,DB05316,Pimavanserin,SmallMoleculeDrug,P14416,D(2) dopamine receptor,DRD2,443.0
12427,DB05317,TAK-475,SmallMoleculeDrug,P37268,Squalene synthase,FDFT1,417.0
12428,DB05317,TAK-475,SmallMoleculeDrug,P04035,3-hydroxy-3-methylglutaryl-coenzyme A reductase,HMGCR,888.0
12430,DB05319,oportuzumab monatox,BiotechDrug,P16422,Epithelial cell adhesion molecule,EPCAM,314.0
12432,DB05324,HuMax-EGFr,BiotechDrug,P00533,Epidermal growth factor receptor,EGFR,1210.0
12433,DB05327,AS-3201,SmallMoleculeDrug,P15121,Aldose reductase,AKR1B1,316.0
12435,DB05332,Romiplostim,BiotechDrug,P40238,Thrombopoietin receptor,MPL,635.0
12436,DB05337,SOT-107,BiotechDrug,P48060,Glioma pathogenesis-related protein 1,GLIPR1,266.0
12437,DB05338,atamestane-plus-toremifene,SmallMoleculeDrug,P11511,Aromatase,CYP19A1,503.0
12438,DB05338,atamestane-plus-toremifene,SmallMoleculeDrug,P03372,Estrogen receptor,ESR1,595.0
12439,DB05339,MN-305,SmallMoleculeDrug,P08908,5-hydroxytryptamine receptor 1A,HTR1A,422.0
12440,DB05341,C1-INH,BiotechDrug,P05155,Plasma protease C1 inhibitor,SERPING1,500.0
12442,DB05342,SP-01A,SmallMoleculeDrug,P04035,3-hydroxy-3-methylglutaryl-coenzyme A reductase,HMGCR,888.0
12443,DB05343,ONO-2506,SmallMoleculeDrug,P04271,Protein S100-B,S100B,92.0
12444,DB05345,SO-101,SmallMoleculeDrug,P35367,Histamine H1 receptor,HRH1,487.0
12445,DB05351,TAK-390MR,SmallMoleculeDrug,P20648,Potassium-transporting ATPase alpha chain 1,ATP4A,1035.0
12446,DB05358,TAK-491,SmallMoleculeDrug,Q9BYF1,Angiotensin-converting enzyme 2,ACE2,805.0
12447,DB05359,VEC-162,SmallMoleculeDrug,P48039,Melatonin receptor type 1A,MTNR1A,350.0
12448,DB05359,VEC-162,SmallMoleculeDrug,P49286,Melatonin receptor type 1B,MTNR1B,362.0
12449,DB05360,KW-3902,SmallMoleculeDrug,P30542,Adenosine receptor A1,ADORA1,326.0
12450,DB05361,SR-123781A,SmallMoleculeDrug,P01008,Antithrombin-III,SERPINC1,464.0
12451,DB05361,SR-123781A,SmallMoleculeDrug,P25116,Proteinase-activated receptor 1,F2R,425.0
12452,DB05362,SSR-126517E,SmallMoleculeDrug,P00742,Coagulation factor X,F10,488.0
12453,DB05364,ROX-888,SmallMoleculeDrug,P10147,C-C motif chemokine 3,CCL3,92.0
12454,DB05367,Actelion-1,SmallMoleculeDrug,P25101,Endothelin-1 receptor,EDNRA,427.0
12455,DB05369,HZT-501,SmallMoleculeDrug,P25021,Histamine H2 receptor,HRH2,359.0
12456,DB05372,CP-945598,SmallMoleculeDrug,P21554,Cannabinoid receptor 1,CNR1,472.0
12457,DB05374,Rindopepimut,SmallMoleculeDrug,P00533,Epidermal growth factor receptor,EGFR,1210.0
12458,DB05381,Histamine,SmallMoleculeDrug,P35367,Histamine H1 receptor,HRH1,487.0
12459,DB05381,Histamine,SmallMoleculeDrug,P25021,Histamine H2 receptor,HRH2,359.0
12460,DB05381,Histamine,SmallMoleculeDrug,Q9Y5N1,Histamine H3 receptor,HRH3,445.0
12461,DB05381,Histamine,SmallMoleculeDrug,Q9H3N8,Histamine H4 receptor,HRH4,390.0
12462,DB05382,molecular iodine,SmallMoleculeDrug,P03915,NADH-ubiquinone oxidoreductase chain 5,MT-ND5,603.0
12463,DB05383,pimagedine HCl,SmallMoleculeDrug,P15121,Aldose reductase,AKR1B1,316.0
12464,DB05383,pimagedine HCl,SmallMoleculeDrug,P35625,Metalloproteinase inhibitor 3,TIMP3,211.0
12465,DB05386,recombinant human GM-CSF,BiotechDrug,P15509,Granulocyte-macrophage colony-stimulating factor receptor subunit alpha,CSF2RA,400.0
12466,DB05386,recombinant human GM-CSF,BiotechDrug,Q16498,GM-CSF receptor alpha subunit,CSF2RA,25.0
12467,DB05387,AE-941,SmallMoleculeDrug,P08253,72 kDa type IV collagenase,MMP2,660.0
12468,DB05387,AE-941,SmallMoleculeDrug,P14780,Matrix metalloproteinase-9,MMP9,707.0
12469,DB05387,AE-941,SmallMoleculeDrug,P39900,Macrophage metalloelastase,MMP12,470.0
12470,DB05389,WF10,SmallMoleculeDrug,Q7L5Y9,Macrophage erythroblast attacher,MAEA,396.0
12471,DB05389,WF10,SmallMoleculeDrug,Q86VB7,Scavenger receptor cysteine-rich type 1 protein M130,CD163,1156.0
12472,DB05390,INS 316,SmallMoleculeDrug,P41231,P2Y purinoceptor 2,P2RY2,377.0
12473,DB05391,liposomal prostaglandin E1,SmallMoleculeDrug,P07359,Platelet glycoprotein Ib alpha chain,GP1BA,652.0
12474,DB05395,SR 58611,SmallMoleculeDrug,P13945,Beta-3 adrenergic receptor,ADRB3,408.0
12476,DB05398,C31G,SmallMoleculeDrug,P21926,CD9 antigen,CD9,228.0
12477,DB05399,AGI-1067,SmallMoleculeDrug,P19320,Vascular cell adhesion protein 1,VCAM1,739.0
12478,DB05403,CEP-1347,SmallMoleculeDrug,P53778,Mitogen-activated protein kinase 12,MAPK12,367.0
12479,DB05404,AZD 3355,SmallMoleculeDrug,P04637,Cellular tumor antigen p53,TP53,393.0
12480,DB05407,TBC-3711,SmallMoleculeDrug,P05305,Endothelin-1,EDN1,212.0
12481,DB05408,IDN-6556,SmallMoleculeDrug,P29466,Caspase-1,CASP1,404.0
12482,DB05408,IDN-6556,SmallMoleculeDrug,P42574,Caspase-3,CASP3,277.0
12483,DB05408,IDN-6556,SmallMoleculeDrug,P55210,Caspase-7,CASP7,303.0
12484,DB05412,SCIO-469,SmallMoleculeDrug,Q16539,Mitogen-activated protein kinase 14,MAPK14,360.0
12485,DB05412,SCIO-469,SmallMoleculeDrug,P01375,Tumor necrosis factor,TNF,233.0
12486,DB05412,SCIO-469,SmallMoleculeDrug,P01584,Interleukin-1 beta,IL1B,269.0
12487,DB05412,SCIO-469,SmallMoleculeDrug,P00403,Cytochrome c oxidase subunit 2,MT-CO2,227.0
12488,DB05413,T-1249,SmallMoleculeDrug,P05154,Plasma serine protease inhibitor,SERPINA5,406.0
12490,DB05415,OSI-461,SmallMoleculeDrug,O76074,"cGMP-specific 3',5'-cyclic phosphodiesterase",PDE5A,875.0
12491,DB05417,GW 468816,SmallMoleculeDrug,P23415,Glycine receptor subunit alpha-1,GLRA1,457.0
12492,DB05418,GW 597599,SmallMoleculeDrug,P25103,Substance-P receptor,TACR1,407.0
12493,DB05419,ADX-10061,SmallMoleculeDrug,Q9NYX4,Neuron-specific vesicular protein calcyon,CALY,217.0
12494,DB05420,gallium maltolate,SmallMoleculeDrug,P23921,Ribonucleoside-diphosphate reductase large subunit,RRM1,792.0
12495,DB05421,CP-122721,SmallMoleculeDrug,P25103,Substance-P receptor,TACR1,407.0
12496,DB05422,OPC-14523,SmallMoleculeDrug,P31645,Sodium-dependent serotonin transporter,SLC6A4,630.0
12497,DB05423,ORG-34517,SmallMoleculeDrug,P04150,Glucocorticoid receptor,NR3C1,777.0
12498,DB05424,CI-1033,SmallMoleculeDrug,P00533,Epidermal growth factor receptor,EGFR,1210.0
12499,DB05428,motexafin gadolinium,SmallMoleculeDrug,Q16881,"Thioredoxin reductase 1, cytoplasmic",TXNRD1,649.0
12500,DB05428,motexafin gadolinium,SmallMoleculeDrug,Q9NNW7,"Thioredoxin reductase 2, mitochondrial",TXNRD2,524.0
12501,DB05428,motexafin gadolinium,SmallMoleculeDrug,P31350,Ribonucleoside-diphosphate reductase subunit M2,RRM2,389.0
12502,DB05429,CAT-213,BiotechDrug,P51671,Eotaxin,CCL11,97.0
12503,DB05431,MLN-977,SmallMoleculeDrug,P09917,Arachidonate 5-lipoxygenase,ALOX5,674.0
12504,DB05432,DAS-431 IV,SmallMoleculeDrug,Q9NYX4,Neuron-specific vesicular protein calcyon,CALY,217.0
12505,DB05434,ABT-510,SmallMoleculeDrug,P09038,Fibroblast growth factor 2,FGF2,288.0
12506,DB05434,ABT-510,SmallMoleculeDrug,P14210,Hepatocyte growth factor,HGF,728.0
12507,DB05434,ABT-510,SmallMoleculeDrug,P15692,Vascular endothelial growth factor A,VEGFA,232.0
12508,DB05434,ABT-510,SmallMoleculeDrug,P10145,Interleukin-8,CXCL8,99.0
12509,DB05435,TNX-355,BiotechDrug,Q5NUL3,Free fatty acid receptor 4,FFAR4,377.0
12510,DB05442,Etiprednol dicloacetate,SmallMoleculeDrug,P01584,Interleukin-1 beta,IL1B,269.0
12511,DB05443,ADL 10-0101,SmallMoleculeDrug,P41145,Kappa-type opioid receptor,OPRK1,380.0
12512,DB05446,LJP 1082,SmallMoleculeDrug,P02749,Beta-2-glycoprotein 1,APOH,345.0
12513,DB05447,AVI-4557,SmallMoleculeDrug,P41235,Hepatocyte nuclear factor 4-alpha,HNF4A,474.0
12514,DB05448,PX-12,SmallMoleculeDrug,Q16881,"Thioredoxin reductase 1, cytoplasmic",TXNRD1,649.0
12515,DB05449,FM-VP4,SmallMoleculeDrug,P08183,Multidrug resistance protein 1,ABCB1,1280.0
12516,DB05451,P54,SmallMoleculeDrug,Q00653,Nuclear factor NF-kappa-B p100 subunit,NFKB2,900.0
12517,DB05451,P54,SmallMoleculeDrug,P19838,Nuclear factor NF-kappa-B p105 subunit,NFKB1,968.0
12518,DB05452,PH-284,SmallMoleculeDrug,P37288,Vasopressin V1a receptor,AVPR1A,418.0
12519,DB05452,PH-284,SmallMoleculeDrug,P47901,Vasopressin V1b receptor,AVPR1B,424.0
12520,DB05455,SR 121463,SmallMoleculeDrug,P47901,Vasopressin V1b receptor,AVPR1B,424.0
12521,DB05457,OSI-7904L,SmallMoleculeDrug,P04818,Thymidylate synthase,TYMS,313.0
12522,DB05458,ABT-089,SmallMoleculeDrug,P43681,Neuronal acetylcholine receptor subunit alpha-4,CHRNA4,627.0
12523,DB05458,ABT-089,SmallMoleculeDrug,P17787,Neuronal acetylcholine receptor subunit beta-2,CHRNB2,502.0
12524,DB05459,Briakinumab,BiotechDrug,P29460,Interleukin-12 subunit beta,IL12B,328.0
12525,DB05459,Briakinumab,BiotechDrug,Q9NPF7,Interleukin-23 subunit alpha,IL23A,189.0
12526,DB05460,TLK-199,SmallMoleculeDrug,P09211,Glutathione S-transferase P,GSTP1,210.0
12527,DB05461,OPC-28326,SmallMoleculeDrug,P41595,5-hydroxytryptamine receptor 2B,HTR2B,481.0
12528,DB05461,OPC-28326,SmallMoleculeDrug,P18825,Alpha-2C adrenergic receptor,ADRA2C,462.0
12529,DB05461,OPC-28326,SmallMoleculeDrug,P18089,Alpha-2B adrenergic receptor,ADRA2B,450.0
12530,DB05463,ISS-1018,SmallMoleculeDrug,Q9NR96,Toll-like receptor 9,TLR9,1032.0
12531,DB05464,NOX-700,SmallMoleculeDrug,Q00653,Nuclear factor NF-kappa-B p100 subunit,NFKB2,900.0
12532,DB05464,NOX-700,SmallMoleculeDrug,P19838,Nuclear factor NF-kappa-B p105 subunit,NFKB1,968.0
12533,DB05465,MLN-518,SmallMoleculeDrug,P36888,Receptor-type tyrosine-protein kinase FLT3,FLT3,993.0
12534,DB05465,MLN-518,SmallMoleculeDrug,Q9GZP0,Platelet-derived growth factor D,PDGFD,370.0
12535,DB05466,R673,SmallMoleculeDrug,P25103,Substance-P receptor,TACR1,407.0
12536,DB05467,R667,SmallMoleculeDrug,P13631,Retinoic acid receptor gamma,RARG,454.0
12537,DB05468,R411,SmallMoleculeDrug,P13612,Integrin alpha-4,ITGA4,1032.0
12538,DB05469,R450,SmallMoleculeDrug,P35348,Alpha-1A adrenergic receptor,ADRA1A,466.0
12539,DB05469,R450,SmallMoleculeDrug,P35368,Alpha-1B adrenergic receptor,ADRA1B,520.0
12540,DB05469,R450,SmallMoleculeDrug,P25100,Alpha-1D adrenergic receptor,ADRA1D,572.0
12541,DB05470,VX-702,SmallMoleculeDrug,Q16539,Mitogen-activated protein kinase 14,MAPK14,360.0
12542,DB05470,VX-702,SmallMoleculeDrug,P01375,Tumor necrosis factor,TNF,233.0
12543,DB05470,VX-702,SmallMoleculeDrug,P01584,Interleukin-1 beta,IL1B,269.0
12544,DB05470,VX-702,SmallMoleculeDrug,P05231,Interleukin-6,IL6,212.0
12545,DB05471,SGN-30,BiotechDrug,P19838,Nuclear factor NF-kappa-B p105 subunit,NFKB1,968.0
12546,DB05471,SGN-30,BiotechDrug,Q00653,Nuclear factor NF-kappa-B p100 subunit,NFKB2,900.0
12547,DB05472,omega interferon,SmallMoleculeDrug,P17181,Interferon alpha/beta receptor 1,IFNAR1,557.0
12548,DB05472,omega interferon,SmallMoleculeDrug,P48551,Interferon alpha/beta receptor 2,IFNAR2,515.0
12549,DB05475,SCV-07,SmallMoleculeDrug,O60603,Toll-like receptor 2,TLR2,784.0
12550,DB05475,SCV-07,SmallMoleculeDrug,O00206,Toll-like receptor 4,TLR4,839.0
12551,DB05475,SCV-07,SmallMoleculeDrug,Q9NYK1,Toll-like receptor 7,TLR7,1049.0
12552,DB05475,SCV-07,SmallMoleculeDrug,Q9NR96,Toll-like receptor 9,TLR9,1032.0
12553,DB05476,WX-UK1,SmallMoleculeDrug,Q03405,Urokinase plasminogen activator surface receptor,PLAUR,335.0
12554,DB05478,Pradefovir Mesylate,SmallMoleculeDrug,P08684,Cytochrome P450 3A4,CYP3A4,503.0
12555,DB05479,CZEN 002,SmallMoleculeDrug,Q01726,Melanocyte-stimulating hormone receptor,MC1R,317.0
12556,DB05481,Recombinant alpha 1-antitrypsin,SmallMoleculeDrug,P01009,Alpha-1-antitrypsin,SERPINA1,418.0
12557,DB05482,LE-SN38,SmallMoleculeDrug,P11387,DNA topoisomerase 1,TOP1,765.0
12558,DB05483,PCL-016,SmallMoleculeDrug,Q5T4S7,E3 ubiquitin-protein ligase UBR4,UBR4,5183.0
12559,DB05483,PCL-016,SmallMoleculeDrug,P08048,Zinc finger Y-chromosomal protein,ZFY,801.0
12560,DB05484,MDX-018,SmallMoleculeDrug,P10145,Interleukin-8,CXCL8,99.0
12561,DB05486,MLN-1202,SmallMoleculeDrug,P41597,C-C chemokine receptor type 2,CCR2,374.0
12562,DB05487,CC-8490,SmallMoleculeDrug,P03372,Estrogen receptor,ESR1,595.0
12563,DB05487,CC-8490,SmallMoleculeDrug,Q00653,Nuclear factor NF-kappa-B p100 subunit,NFKB2,900.0
12564,DB05487,CC-8490,SmallMoleculeDrug,P19838,Nuclear factor NF-kappa-B p105 subunit,NFKB1,968.0
12566,DB05488,99mTc-ciprofloxacin,SmallMoleculeDrug,Q02880,DNA topoisomerase 2-beta,TOP2B,1626.0
12568,DB05490,T131,SmallMoleculeDrug,P37231,Peroxisome proliferator-activated receptor gamma,PPARG,505.0
12569,DB05492,Epicept NP-1,SmallMoleculeDrug,P35372,Mu-type opioid receptor,OPRM1,400.0
12570,DB05492,Epicept NP-1,SmallMoleculeDrug,P28223,5-hydroxytryptamine receptor 2A,HTR2A,471.0
12571,DB05492,Epicept NP-1,SmallMoleculeDrug,P41595,5-hydroxytryptamine receptor 2B,HTR2B,481.0
12572,DB05492,Epicept NP-1,SmallMoleculeDrug,P28335,5-hydroxytryptamine receptor 2C,HTR2C,458.0
12573,DB05492,Epicept NP-1,SmallMoleculeDrug,P35348,Alpha-1A adrenergic receptor,ADRA1A,466.0
12574,DB05492,Epicept NP-1,SmallMoleculeDrug,P35368,Alpha-1B adrenergic receptor,ADRA1B,520.0
12575,DB05492,Epicept NP-1,SmallMoleculeDrug,P25100,Alpha-1D adrenergic receptor,ADRA1D,572.0
12576,DB05492,Epicept NP-1,SmallMoleculeDrug,P08913,Alpha-2A adrenergic receptor,ADRA2A,450.0
12577,DB05492,Epicept NP-1,SmallMoleculeDrug,P18089,Alpha-2B adrenergic receptor,ADRA2B,450.0
12578,DB05492,Epicept NP-1,SmallMoleculeDrug,P18825,Alpha-2C adrenergic receptor,ADRA2C,462.0
12579,DB05492,Epicept NP-1,SmallMoleculeDrug,P35367,Histamine H1 receptor,HRH1,487.0
12580,DB05492,Epicept NP-1,SmallMoleculeDrug,P41146,Nociceptin receptor,OPRL1,370.0
12581,DB05494,CP-4055,SmallMoleculeDrug,P27707,Deoxycytidine kinase,DCK,260.0
12582,DB05495,PG-530742,SmallMoleculeDrug,P14780,Matrix metalloproteinase-9,MMP9,707.0
12583,DB05501,AMD-070,SmallMoleculeDrug,P61073,C-X-C chemokine receptor type 4,CXCR4,352.0
12584,DB05501,AMD-070,SmallMoleculeDrug,P51681,C-C chemokine receptor type 5,CCR5,352.0
12585,DB05505,NM-702,SmallMoleculeDrug,P24557,Thromboxane-A synthase,TBXAS1,533.0
12586,DB05506,ISIS 113715,SmallMoleculeDrug,P18031,Tyrosine-protein phosphatase non-receptor type 1,PTPN1,435.0
